year,school
1900,Nevada-Las Vegas
1900,Oklahoma State
1900,North Carolina
1974,Fairfield
1977,Utah
1979,Michigan State
1980,West Texas A&M
1981,Texas-Rio Grande Valley
1982,Loyola (IL)
1982,Nevada-Las Vegas
1983,Nevada-Las Vegas
1983,NC State
1983,Cal State Fullerton
1984,Houston
1984,Illinois-Chicago
1984,Nevada-Las Vegas
1985,Bradley
1985,Loyola (IL)
1986,Nevada-Las Vegas
1986,Clemson
1986,Memphis
1986,Kansas
1986,St. John's (NY)
1986,Bradley
1987,Charleston Southern
1987,Wake Forest
1987,Syracuse
1987,Nevada-Las Vegas
1987,Southern
1988,Syracuse
1988,Oklahoma
1988,Southern
1988,Bradley
1988,Georgia Tech
1988,Temple
1988,Loyola Marymount
1989,Syracuse
1989,NC State
1989,Holy Cross
1990,Georgia Tech
1990,Idaho
1990,Louisiana
1990,East Tennessee State
1990,Duke
1990,Nevada-Las Vegas
1991,Nevada-Las Vegas
1991,Loyola Marymount
1991,NC State
1991,Duke
1991,East Tennessee State
1992,New Mexico State
1993,Duke
1993,New Mexico State
1994,Marquette
1994,Texas A&M
1994,California
1995,Baylor
1996,Syracuse
1998,Arizona State
1998,North Carolina
1999,Oklahoma State
1999,Michigan State
2001,Cal State Northridge
2002,Texas
2002,Maryland
2005,Illinois
2007,Marist
2008,Davidson
2009,Pittsburgh
2009,Oakland
2010,Siena
2011,Ohio
2011,Iona
2012,Iona
2012,North Carolina
2013,Long Island University
2013,Syracuse
2014,Louisiana Tech
2014,Long Island University
2015,Louisiana Tech
2016,Brigham Young
2016,Oakland
2016,Milwaukee
2016,Ohio
2017,UCLA
2018,Kansas
2018,Oklahoma
2018,Southern California
2018,Saint Mary's (CA)
2019,Murray State
2019,Michigan State
2022,Saint Louis
2023,Kansas State
2023,Saint Louis
2023,Marquette
2024,Purdue
2025,Purdue
2025,Gonzaga
2025,Tennessee
2025,Pepperdine
2025,Gonzaga
